formula,entropy
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_18.cnf,0.164
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_26.cnf,0.06
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_4.cnf,0.10999999999999999
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_23.cnf,0.066
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_7.cnf,0.11
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_5.cnf,0.17200000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_14.cnf,0.11199999999999999
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_13.cnf,0.128
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_20.cnf,0.054000000000000006
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_20.cnf,0.14
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_9.cnf,0.236
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_20.cnf,0.21000000000000002
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_49.cnf,0.06
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_2.cnf,0.18400000000000002
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_36.cnf,0.063
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_12.cnf,0.09200000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_20.cnf,0.07200000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_19.cnf,0.10600000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_39.cnf,0.047
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_6.cnf,0.126
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_0.cnf,0.152
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_3.cnf,0.348
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_0.cnf,0.078
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_7.cnf,0.066
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_42.cnf,0.05500000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_22.cnf,0.066
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_18.cnf,0.25
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_15.cnf,0.062
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_11.cnf,0.048
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_16.cnf,0.064
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_1.cnf,0.2
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_12.cnf,0.06
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_13.cnf,0.10900000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_21.cnf,0.108
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_40.cnf,0.06
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_2.cnf,0.09400000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_9.cnf,0.276
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_6.cnf,0.15000000000000002
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_6.cnf,0.18400000000000002
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_2.cnf,0.10400000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_6.cnf,0.378
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_13.cnf,0.16599999999999998
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_11.cnf,0.29000000000000004
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_15.cnf,0.18399999999999997
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_46.cnf,0.069
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_35.cnf,0.082
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_28.cnf,0.07200000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_16.cnf,0.096
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_16.cnf,0.142
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_12.cnf,0.126
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_8.cnf,0.256
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_2.cnf,0.14
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_0.cnf,0.15
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_3.cnf,0.10400000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_45.cnf,0.09
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_9.cnf,0.11800000000000002
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_15.cnf,0.24800000000000003
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_3.cnf,0.14
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_7.cnf,0.274
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_10.cnf,0.15800000000000003
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_2.cnf,0.05600000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_20.cnf,0.17400000000000002
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_14.cnf,0.266
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_9.cnf,0.07400000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_44.cnf,0.062
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_19.cnf,0.058
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_33.cnf,0.057999999999999996
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_21.cnf,0.08
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_37.cnf,0.064
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_30.cnf,0.062
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_13.cnf,0.19600000000000004
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_34.cnf,0.07
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_29.cnf,0.06
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_18.cnf,0.128
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_5.cnf,0.07600000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_27.cnf,0.07200000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_14.cnf,0.068
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_6.cnf,0.07500000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_17.cnf,0.18000000000000002
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_10.cnf,0.18400000000000002
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_15.cnf,0.126
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_16.cnf,0.14
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_48.cnf,0.057999999999999996
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_25.cnf,0.078
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_7.cnf,0.12400000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_0.cnf,0.24800000000000003
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_16.cnf,0.21000000000000002
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_18.cnf,0.139
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_38.cnf,0.06
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_13.cnf,0.065
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_4.cnf,0.07200000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_19.cnf,0.10800000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_19.cnf,0.40399999999999997
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_1.cnf,0.066
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_17.cnf,0.055
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_5.cnf,0.14
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_47.cnf,0.062
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_4.cnf,0.266
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_11.cnf,0.12000000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_5.cnf,0.21800000000000003
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_8.cnf,0.266
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_1.cnf,0.36500000000000005
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_8.cnf,0.128
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_41.cnf,0.07
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_5.cnf,0.18000000000000002
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_32.cnf,0.068
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_1.cnf,0.09600000000000002
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_8.cnf,0.07200000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_15.cnf,0.116
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_4.cnf,0.23199999999999996
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_10.cnf,0.138
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_0.cnf,0.09200000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_14.cnf,0.18200000000000002
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_1.cnf,0.09
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_43.cnf,0.07400000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_18.cnf,0.062
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_19.cnf,0.316
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_17.cnf,0.098
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_10.cnf,0.066
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_17.cnf,0.17600000000000002
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_12.cnf,0.256
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_12.cnf,0.324
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_8.cnf,0.102
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_9.cnf,0.142
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_4.cnf,0.17800000000000002
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_3.cnf,0.14600000000000002
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_11.cnf,0.17200000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_7.cnf,0.246
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_11.cnf,0.262
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_14.cnf,0.152
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_10.cnf,0.292
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_24.cnf,0.08
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_3.cnf,0.08
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_31.cnf,0.07200000000000001
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_50.cnf,0.054000000000000006
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_17.cnf,0.136
