formula,solver,runtime,conflicts
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_13.cnf,wrapper-luby.sh,0.004515,452
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_9.cnf,wrapper-luby.sh,0.002776,303
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_5.cnf,wrapper-luby.sh,0.002117,110
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_4.cnf,wrapper-luby.sh,0.004313,37
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_1.cnf,wrapper-luby.sh,0.003031,374
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_12.cnf,wrapper-luby.sh,0.001541,132
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_10.cnf,wrapper-luby.sh,0.000994,23
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_2.cnf,wrapper-luby.sh,0.001615,98
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_22.cnf,wrapper-luby.sh,0.002561,149
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_3.cnf,wrapper-luby.sh,0.003201,89
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_1.cnf,wrapper-luby.sh,0.002812,97
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_44.cnf,wrapper-luby.sh,0.002984,143
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_9.cnf,wrapper-luby.sh,0.003396,312
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_39.cnf,wrapper-luby.sh,0.003622,379
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_13.cnf,wrapper-luby.sh,0.000991,338
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_1.cnf,wrapper-luby.sh,0.002486,112
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_11.cnf,wrapper-luby.sh,0.001142,55
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_1.cnf,wrapper-luby.sh,0.002649,113
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_5.cnf,wrapper-luby.sh,0.002875,263
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_6.cnf,wrapper-luby.sh,0.002722,128
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_6.cnf,wrapper-luby.sh,0.003358,183
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_49.cnf,wrapper-luby.sh,0.00579,599
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_8.cnf,wrapper-luby.sh,0.002239,306
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_36.cnf,wrapper-luby.sh,0.004877,350
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_21.cnf,wrapper-luby.sh,0.007197,893
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_7.cnf,wrapper-luby.sh,0.003189,379
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_5.cnf,wrapper-luby.sh,0.004325,386
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_18.cnf,wrapper-luby.sh,0.003751,297
