formula,formulaType,runtime,conflicts,runtime-NR,conflicts-NR,entropy,num sols
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_13.cnf,CBS,0.002394,318,0.003175,318,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_9.cnf,CBS,0.0,74,0.000848,74,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_5.cnf,CBS,0.003027,415,0.003288,415,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_4.cnf,CBS,0.000919,47,0.0,47,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_1.cnf,CBS,0.001982,222,0.001828,222,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_12.cnf,CBS,0.003102,183,0.002117,183,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_10.cnf,CBS,0.001064,36,0.0,36,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_2.cnf,CBS,0.001022,96,0.001298,96,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_22.cnf,CBS,0.00324,234,0.002165,234,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_3.cnf,CBS,0.000858,74,0.001998,74,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_1.cnf,CBS,0.000959,141,0.000862,141,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_44.cnf,CBS,0.002115,298,0.00235,298,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_9.cnf,CBS,0.00101,68,0.000879,68,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_39.cnf,CBS,0.002293,298,0.002815,298,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_13.cnf,CBS,0.00434,575,0.004147,575,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_1.cnf,CBS,0.000959,139,0.001855,139,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_11.cnf,CBS,0.001077,34,0.000913,34,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_1.cnf,CBS,0.002004,193,0.001333,193,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_5.cnf,CBS,0.003059,371,0.00278,371,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_6.cnf,CBS,0.002431,272,0.001892,272,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_6.cnf,CBS,0.004384,624,0.005324,624,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_49.cnf,CBS,0.004761,634,0.005006,634,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_8.cnf,CBS,0.001867,203,0.001339,203,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_36.cnf,CBS,0.002504,297,0.004302,297,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_21.cnf,CBS,0.005111,555,0.004175,555,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_7.cnf,CBS,0.004792,597,0.005512,597,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_5.cnf,CBS,0.003196,197,0.001402,197,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_18.cnf,CBS,0.002378,266,0.002182,266,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_12.cnf,CBS,0.004162,359,0.002965,359,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_14.cnf,CBS,0.005558,765,0.005191,765,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_33.cnf,CBS,0.003078,379,0.002953,379,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_17.cnf,CBS,0.000937,30,0.0,30,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_29.cnf,CBS,0.000881,163,0.001333,163,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_0.cnf,CBS,0.0,32,0.002048,32,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_41.cnf,CBS,0.002048,223,0.001588,223,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_16.cnf,CBS,0.001234,31,0.0,31,,
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_3.cnf,CBS,0.003824,486,0.004804,486,,
