formula,solver,runtime,conflicts,entropy,num sols
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_13.cnf,wrapper-luby.sh,0.004515,452,0.128,2620
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_9.cnf,wrapper-luby.sh,0.002776,303,0.236,3968
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_5.cnf,wrapper-luby.sh,0.002117,110,0.14,23752
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_4.cnf,wrapper-luby.sh,0.004313,37,0.266,160271
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_1.cnf,wrapper-luby.sh,0.003031,374,0.096,1224
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_12.cnf,wrapper-luby.sh,0.001541,132,0.126,53280
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_10.cnf,wrapper-luby.sh,0.000994,23,0.158,15052
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_2.cnf,wrapper-luby.sh,0.001615,98,0.184,148844
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_22.cnf,wrapper-luby.sh,0.002561,149,0.066,176
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_3.cnf,wrapper-luby.sh,0.003201,89,0.14,8288
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_1.cnf,wrapper-luby.sh,0.002812,97,0.09,4828
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_44.cnf,wrapper-luby.sh,0.002984,143,0.062,240
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_9.cnf,wrapper-luby.sh,0.003396,312,0.142,5052
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_39.cnf,wrapper-luby.sh,0.003622,379,0.047,54
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_13.cnf,wrapper-luby.sh,0.000991,338,0.166,15443
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_1.cnf,wrapper-luby.sh,0.002486,112,0.066,240
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_11.cnf,wrapper-luby.sh,0.001142,55,0.29,144106
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_1.cnf,wrapper-luby.sh,0.002649,113,0.2,11408
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_5.cnf,wrapper-luby.sh,0.002875,263,0.076,392
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_6.cnf,wrapper-luby.sh,0.002722,128,0.378,2864
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_6.cnf,wrapper-luby.sh,0.003358,183,0.126,60256
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_49.cnf,wrapper-luby.sh,0.00579,599,0.06,324
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_8.cnf,wrapper-luby.sh,0.002239,306,0.128,50
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_36.cnf,wrapper-luby.sh,0.004877,350,0.063,144
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_21.cnf,wrapper-luby.sh,0.007197,893,0.108,386
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_7.cnf,wrapper-luby.sh,0.003189,379,0.11,6336
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_5.cnf,wrapper-luby.sh,0.004325,386,0.18,5696
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_18.cnf,wrapper-luby.sh,0.003751,297,0.128,16468
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_12.cnf,wrapper-luby.sh,0.003218,281,0.092,5624
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_14.cnf,wrapper-luby.sh,0.008967,979,0.112,39484
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_33.cnf,wrapper-luby.sh,0.003193,366,0.058,244
